Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	6,4419e-004
0	1	8,4118	46,	1,5857	2713	6,8526e-004
0	2	8,4192	46,	1,5312	2713	7,1491e-004
0	3	8,4872	46,	1,5312	2713	6,4902e-004
1	4	8,4962	46,	1,5857	2714	1,1814e-003
1	5	8,4118	46,	1,5857	2714	1,1129e-003
1	6	8,4084	46,	1,6506	2714	1,16e-003
1	7	8,5003	46,	1,6506	2714	1,1981e-003
2	8	8,5003	46,	1,6506	2715	2,1847e-003
2	9	8,4084	46,	1,6506	2715	2,1484e-003
2	10	8,4084	46,	1,7174	2715	2,2319e-003
2	11	8,5002	46,	1,7174	2715	2,2458e-003
3	12	8,5002	46,	1,7174	2716	2,5502e-003
3	13	8,4084	46,	1,7174	2716	2,2333e-003
3	14	8,4118	46,	1,7816	2716	2,103e-003
3	15	8,4962	46,	1,7816	2716	2,431e-003
4	16	8,4962	46,	1,7816	2717	1,3613e-003
4	17	8,4118	46,	1,7816	2717	1,2548e-003
4	18	8,4192	46,	1,8362	2717	1,2156e-003
4	19	8,4872	46,	1,8362	2717	1,3479e-003
5	20	8,4872	46,	1,8362	2718	8,657e-004
5	21	8,4192	46,	1,8362	2718	7,0466e-004
5	22	8,4192	46,	1,8562	2718	7,177e-004
5	23	8,4872	46,	1,8562	2718	8,3316e-004
6	24	8,5087	46,	1,5857	2725	5,8378e-004
6	25	8,5548	46,	1,5857	2725	6,1945e-004
6	26	8,5345	46,	1,5312	2725	5,7802e-004
6	27	8,4974	46,	1,5312	2725	5,7587e-004
7	28	8,5548	46,	1,5857	2726	8,7368e-004
7	29	8,5087	46,	1,5857	2726	9,6467e-004
7	30	8,5139	46,	1,6506	2726	9,7095e-004
7	31	8,5641	46,	1,6506	2726	8,0717e-004
8	32	8,5641	46,	1,6506	2727	8,1473e-004
8	33	8,5139	46,	1,6506	2727	8,3617e-004
8	34	8,5139	46,	1,7174	2727	1,1026e-003
8	35	8,5641	46,	1,7174	2727	1,0422e-003
9	36	8,5641	46,	1,7174	2728	3,4962e-003
9	37	8,5139	46,	1,7174	2728	2,7065e-003
9	38	8,5087	46,	1,7816	2728	2,5012e-003
9	39	8,5549	46,	1,7816	2728	3,6977e-003
10	40	8,5549	46,	1,7816	2729	4,2034e-003
10	41	8,5087	46,	1,7816	2729	4,4645e-003
10	42	8,4974	46,	1,8362	2729	3,1261e-003
10	43	8,5345	46,	1,8362	2729	3,1775e-003
11	44	8,5345	46,	1,8362	2730	1,0384e-003
11	45	8,4974	46,	1,8362	2730	9,2859e-004
11	46	8,4974	46,	1,8562	2730	9,919e-004
11	47	8,5345	46,	1,8562	2730	9,3411e-004
