Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	1,7061e-003
0	1	8,4118	46,	1,5857	2713	1,9314e-003
0	2	8,4192	46,	1,5312	2713	2,1015e-003
0	3	8,4872	46,	1,5312	2713	1,7457e-003
1	4	8,4962	46,	1,5857	2714	4,9409e-003
1	5	8,4118	46,	1,5857	2714	4,7175e-003
1	6	8,4084	46,	1,6506	2714	5,2059e-003
1	7	8,5003	46,	1,6506	2714	5,2112e-003
2	8	8,5003	46,	1,6506	2715	1,1472e-002
2	9	8,4084	46,	1,6506	2715	1,2257e-002
2	10	8,4084	46,	1,7174	2715	1,3731e-002
2	11	8,5002	46,	1,7174	2715	1,2622e-002
3	12	8,5002	46,	1,7174	2716	1,8956e-002
3	13	8,4084	46,	1,7174	2716	1,5918e-002
3	14	8,4118	46,	1,7816	2716	1,3435e-002
3	15	8,4962	46,	1,7816	2716	1,6513e-002
4	16	8,4962	46,	1,7816	2717	8,6083e-003
4	17	8,4118	46,	1,7816	2717	7,4976e-003
4	18	8,4192	46,	1,8362	2717	6,6023e-003
4	19	8,4872	46,	1,8362	2717	8,3097e-003
5	20	8,4872	46,	1,8362	2718	2,5443e-003
5	21	8,4192	46,	1,8362	2718	1,8543e-003
5	22	8,4192	46,	1,8562	2718	1,8953e-003
5	23	8,4872	46,	1,8562	2718	2,424e-003
6	24	8,5087	46,	1,5857	2725	1,4903e-003
6	25	8,5548	46,	1,5857	2725	1,6572e-003
6	26	8,5345	46,	1,5312	2725	1,5023e-003
6	27	8,4974	46,	1,5312	2725	1,48e-003
7	28	8,5548	46,	1,5857	2726	2,9398e-003
7	29	8,5087	46,	1,5857	2726	3,4856e-003
7	30	8,5139	46,	1,6506	2726	3,542e-003
7	31	8,5641	46,	1,6506	2726	2,5388e-003
8	32	8,5641	46,	1,6506	2727	1,9408e-003
8	33	8,5139	46,	1,6506	2727	2,0809e-003
8	34	8,5139	46,	1,7174	2727	3,3224e-003
8	35	8,5641	46,	1,7174	2727	2,8443e-003
9	36	8,5641	46,	1,7174	2728	1,9488e-002
9	37	8,5139	46,	1,7174	2728	1,2738e-002
9	38	8,5087	46,	1,7816	2728	1,4443e-002
9	39	8,5549	46,	1,7816	2728	2,3622e-002
10	40	8,5549	46,	1,7816	2729	3,2245e-002
10	41	8,5087	46,	1,7816	2729	3,8701e-002
10	42	8,4974	46,	1,8362	2729	1,8122e-002
10	43	8,5345	46,	1,8362	2729	1,6028e-002
11	44	8,5345	46,	1,8362	2730	3,3553e-003
11	45	8,4974	46,	1,8362	2730	2,5604e-003
11	46	8,4974	46,	1,8562	2730	2,968e-003
11	47	8,5345	46,	1,8562	2730	2,5594e-003
12	48	8,5087	46,	1,5857	2731	1,4178e-003
12	49	8,4962	46,	1,5857	2731	1,3689e-003
12	50	8,4872	46,	1,5312	2731	1,3657e-003
12	51	8,4974	46,	1,5312	2731	1,4099e-003
13	52	8,4962	46,	1,5857	2732	3,7271e-003
13	53	8,5087	46,	1,5857	2732	3,5454e-003
13	54	8,5139	46,	1,6506	2732	3,5802e-003
13	55	8,5003	46,	1,6506	2732	3,8244e-003
14	56	8,5003	46,	1,6506	2733	2,7416e-003
14	57	8,5139	46,	1,6506	2733	2,616e-003
14	58	8,5139	46,	1,7174	2733	4,05e-003
14	59	8,5002	46,	1,7174	2733	4,266e-003
15	60	8,5002	46,	1,7174	2734	1,2178e-002
15	61	8,5139	46,	1,7174	2734	1,3874e-002
15	62	8,5087	46,	1,7816	2734	1,4044e-002
15	63	8,4962	46,	1,7816	2734	1,189e-002
16	64	8,4962	46,	1,7816	2735	3,2269e-002
16	65	8,5087	46,	1,7816	2735	3,23e-002
16	66	8,4974	46,	1,8362	2735	1,7407e-002
16	67	8,4872	46,	1,8362	2735	1,7693e-002
17	68	8,4872	46,	1,8362	2736	2,4152e-003
17	69	8,4974	46,	1,8362	2736	2,574e-003
17	70	8,4974	46,	1,8562	2736	2,6082e-003
17	71	8,4872	46,	1,8562	2736	2,6286e-003
18	72	8,4018	46,	1,5857	2749	5,9857e-003
18	73	8,3261	46,	1,5857	2749	6,1411e-003
18	74	8,3501	46,	1,5312	2749	1,0754e-002
18	75	8,4112	46,	1,5312	2749	5,4723e-003
19	76	8,4018	46,	1,5857	2750	8,0189e-003
19	77	8,3261	46,	1,5857	2750	8,6187e-003
19	78	8,3151	46,	1,6506	2750	1,6853e-002
19	79	8,3976	46,	1,6506	2750	1,102e-002
20	80	8,3976	46,	1,6506	2751	2,5808e-003
