Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	2,8122e-004
0	1	8,4118	46,	1,5857	2713	2,9669e-004
0	2	8,4192	46,	1,5312	2713	3,0614e-004
0	3	8,4872	46,	1,5312	2713	2,7995e-004
1	4	8,4962	46,	1,5857	2714	4,5669e-004
1	5	8,4118	46,	1,5857	2714	4,3341e-004
1	6	8,4084	46,	1,6506	2714	4,4667e-004
1	7	8,5003	46,	1,6506	2714	4,6152e-004
2	8	8,5003	46,	1,6506	2715	6,9355e-004
2	9	8,4084	46,	1,6506	2715	6,7986e-004
2	10	8,4084	46,	1,7174	2715	6,9176e-004
2	11	8,5002	46,	1,7174	2715	7,0397e-004
3	12	8,5002	46,	1,7174	2716	7,2286e-004
3	13	8,4084	46,	1,7174	2716	6,7539e-004
3	14	8,4118	46,	1,7816	2716	6,5404e-004
3	15	8,4962	46,	1,7816	2716	7,0258e-004
4	16	8,4962	46,	1,7816	2717	4,8444e-004
4	17	8,4118	46,	1,7816	2717	4,5965e-004
4	18	8,4192	46,	1,8362	2717	4,499e-004
4	19	8,4872	46,	1,8362	2717	4,8288e-004
5	20	8,4872	46,	1,8362	2718	3,542e-004
5	21	8,4192	46,	1,8362	2718	3,0098e-004
5	22	8,4192	46,	1,8562	2718	3,0575e-004
5	23	8,4872	46,	1,8562	2718	3,4327e-004
6	24	8,5087	46,	1,5857	2725	2,6136e-004
6	25	8,5548	46,	1,5857	2725	2,7579e-004
6	26	8,5345	46,	1,5312	2725	2,5819e-004
6	27	8,4974	46,	1,5312	2725	2,5606e-004
7	28	8,5548	46,	1,5857	2726	3,6163e-004
7	29	8,5087	46,	1,5857	2726	3,9112e-004
7	30	8,5139	46,	1,6506	2726	3,9211e-004
7	31	8,5641	46,	1,6506	2726	3,4069e-004
8	32	8,5641	46,	1,6506	2727	3,5557e-004
8	33	8,5139	46,	1,6506	2727	3,6133e-004
8	34	8,5139	46,	1,7174	2727	4,5106e-004
8	35	8,5641	46,	1,7174	2727	4,3553e-004
9	36	8,5641	46,	1,7174	2728	9,5139e-004
9	37	8,5139	46,	1,7174	2728	8,2206e-004
9	38	8,5087	46,	1,7816	2728	7,5372e-004
9	39	8,5549	46,	1,7816	2728	9,5015e-004
10	40	8,5549	46,	1,7816	2729	8,8285e-004
10	41	8,5087	46,	1,7816	2729	9,0326e-004
10	42	8,4974	46,	1,8362	2729	7,8656e-004
10	43	8,5345	46,	1,8362	2729	7,9421e-004
11	44	8,5345	46,	1,8362	2730	3,7269e-004
11	45	8,4974	46,	1,8362	2730	3,4899e-004
11	46	8,4974	46,	1,8562	2730	3,6714e-004
11	47	8,5345	46,	1,8562	2730	3,4207e-004
12	48	8,5087	46,	1,5857	2731	2,5731e-004
12	49	8,4962	46,	1,5857	2731	2,5316e-004
12	50	8,4872	46,	1,5312	2731	2,4736e-004
12	51	8,4974	46,	1,5312	2731	2,5132e-004
13	52	8,4962	46,	1,5857	2732	4,043e-004
13	53	8,5087	46,	1,5857	2732	3,9536e-004
13	54	8,5139	46,	1,6506	2732	3,9692e-004
13	55	8,5003	46,	1,6506	2732	4,0937e-004
14	56	8,5003	46,	1,6506	2733	4,0707e-004
14	57	8,5139	46,	1,6506	2733	4,0092e-004
14	58	8,5139	46,	1,7174	2733	4,7242e-004
14	59	8,5002	46,	1,7174	2733	4,7825e-004
15	60	8,5002	46,	1,7174	2734	7,7918e-004
15	61	8,5139	46,	1,7174	2734	8,1743e-004
15	62	8,5087	46,	1,7816	2734	7,4667e-004
15	63	8,4962	46,	1,7816	2734	7,0366e-004
16	64	8,4962	46,	1,7816	2735	8,5353e-004
16	65	8,5087	46,	1,7816	2735	8,5543e-004
16	66	8,4974	46,	1,8362	2735	7,6617e-004
16	67	8,4872	46,	1,8362	2735	7,7507e-004
17	68	8,4872	46,	1,8362	2736	3,4806e-004
17	69	8,4974	46,	1,8362	2736	3,529e-004
17	70	8,4974	46,	1,8562	2736	3,5645e-004
17	71	8,4872	46,	1,8562	2736	3,5868e-004
18	72	8,4018	46,	1,5857	2749	4,7007e-004
