Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	9,2279e-005
0	1	8,4118	46,	1,5857	2713	9,9442e-005
0	2	8,4192	46,	1,5312	2713	1,0226e-004
0	3	8,4872	46,	1,5312	2713	8,9573e-005
1	4	8,4962	46,	1,5857	2714	1,5628e-004
1	5	8,4118	46,	1,5857	2714	1,4765e-004
1	6	8,4084	46,	1,6506	2714	1,5269e-004
1	7	8,5003	46,	1,6506	2714	1,5769e-004
2	8	8,5003	46,	1,6506	2715	2,2393e-004
2	9	8,4084	46,	1,6506	2715	2,2326e-004
2	10	8,4084	46,	1,7174	2715	2,2684e-004
2	11	8,5002	46,	1,7174	2715	2,2704e-004
3	12	8,5002	46,	1,7174	2716	2,2593e-004
3	13	8,4084	46,	1,7174	2716	2,1589e-004
3	14	8,4118	46,	1,7816	2716	2,1073e-004
3	15	8,4962	46,	1,7816	2716	2,2218e-004
4	16	8,4962	46,	1,7816	2717	1,6201e-004
4	17	8,4118	46,	1,7816	2717	1,5535e-004
4	18	8,4192	46,	1,8362	2717	1,52e-004
4	19	8,4872	46,	1,8362	2717	1,6122e-004
5	20	8,4872	46,	1,8362	2718	1,225e-004
5	21	8,4192	46,	1,8362	2718	1,0449e-004
5	22	8,4192	46,	1,8562	2718	1,0588e-004
5	23	8,4872	46,	1,8562	2718	1,1874e-004
6	24	8,5087	46,	1,5857	2725	8,9651e-005
6	25	8,5548	46,	1,5857	2725	9,6297e-005
6	26	8,5345	46,	1,5312	2725	8,9012e-005
6	27	8,4974	46,	1,5312	2725	8,609e-005
7	28	8,5548	46,	1,5857	2726	1,2603e-004
7	29	8,5087	46,	1,5857	2726	1,3689e-004
7	30	8,5139	46,	1,6506	2726	1,361e-004
7	31	8,5641	46,	1,6506	2726	1,1773e-004
8	32	8,5641	46,	1,6506	2727	1,1634e-004
8	33	8,5139	46,	1,6506	2727	1,1899e-004
8	34	8,5139	46,	1,7174	2727	1,4722e-004
8	35	8,5641	46,	1,7174	2727	1,4121e-004
9	36	8,5641	46,	1,7174	2728	2,7413e-004
9	37	8,5139	46,	1,7174	2728	2,4739e-004
9	38	8,5087	46,	1,7816	2728	2,3111e-004
9	39	8,5549	46,	1,7816	2728	2,7335e-004
10	40	8,5549	46,	1,7816	2729	2,6066e-004
10	41	8,5087	46,	1,7816	2729	2,6504e-004
10	42	8,4974	46,	1,8362	2729	2,3948e-004
10	43	8,5345	46,	1,8362	2729	2,4138e-004
11	44	8,5345	46,	1,8362	2730	1,2622e-004
11	45	8,4974	46,	1,8362	2730	1,1937e-004
11	46	8,4974	46,	1,8562	2730	1,2548e-004
11	47	8,5345	46,	1,8562	2730	1,1637e-004
12	48	8,5087	46,	1,5857	2731	8,7828e-005
12	49	8,4962	46,	1,5857	2731	8,6004e-005
12	50	8,4872	46,	1,5312	2731	8,2325e-005
12	51	8,4974	46,	1,5312	2731	8,4084e-005
13	52	8,4962	46,	1,5857	2732	1,4203e-004
13	53	8,5087	46,	1,5857	2732	1,3851e-004
13	54	8,5139	46,	1,6506	2732	1,3824e-004
13	55	8,5003	46,	1,6506	2732	1,428e-004
14	56	8,5003	46,	1,6506	2733	1,3529e-004
14	57	8,5139	46,	1,6506	2733	1,3286e-004
14	58	8,5139	46,	1,7174	2733	1,5528e-004
14	59	8,5002	46,	1,7174	2733	1,5759e-004
15	60	8,5002	46,	1,7174	2734	2,3883e-004
15	61	8,5139	46,	1,7174	2734	2,468e-004
15	62	8,5087	46,	1,7816	2734	2,3023e-004
15	63	8,4962	46,	1,7816	2734	2,2086e-004
16	64	8,4962	46,	1,7816	2735	2,5506e-004
16	65	8,5087	46,	1,7816	2735	2,554e-004
16	66	8,4974	46,	1,8362	2735	2,3527e-004
16	67	8,4872	46,	1,8362	2735	2,3714e-004
17	68	8,4872	46,	1,8362	2736	1,1942e-004
17	69	8,4974	46,	1,8362	2736	1,208e-004
17	70	8,4974	46,	1,8562	2736	1,2224e-004
17	71	8,4872	46,	1,8562	2736	1,2317e-004
18	72	8,4018	46,	1,5857	2749	1,5856e-004
18	73	8,3261	46,	1,5857	2749	1,5043e-004
18	74	8,3501	46,	1,5312	2749	1,8308e-004
18	75	8,4112	46,	1,5312	2749	1,4094e-004
19	76	8,4018	46,	1,5857	2750	2,0648e-004
19	77	8,3261	46,	1,5857	2750	2,0005e-004
19	78	8,3151	46,	1,6506	2750	2,4165e-004
19	79	8,3976	46,	1,6506	2750	2,1104e-004
20	80	8,3976	46,	1,6506	2751	1,2853e-004
20	81	8,3151	46,	1,6506	2751	1,0906e-004
20	82	8,3152	46,	1,7174	2751	9,182e-005
20	83	8,3976	46,	1,7174	2751	1,087e-004
21	84	8,3976	46,	1,7174	2752	1,4202e-004
21	85	8,3152	46,	1,7174	2752	1,2641e-004
21	86	8,3261	46,	1,7816	2752	1,2653e-004
21	87	8,4018	46,	1,7816	2752	1,4309e-004
22	88	8,4018	46,	1,7816	2753	1,677e-004
22	89	8,3261	46,	1,7816	2753	1,4442e-004
22	90	8,3501	46,	1,8362	2753	1,3912e-004
22	91	8,4112	46,	1,8362	2753	1,6979e-004
23	92	8,4112	46,	1,8362	2754	9,6123e-005
23	93	8,3501	46,	1,8362	2754	8,8184e-005
23	94	8,3501	46,	1,8562	2754	8,8911e-005
23	95	8,4112	46,	1,8562	2754	9,1608e-005
24	96	8,4018	46,	1,5857	2755	1,3512e-004
24	97	8,4118	46,	1,5857	2755	1,3176e-004
24	98	8,4192	46,	1,5312	2755	1,3324e-004
24	99	8,4112	46,	1,5312	2755	1,3572e-004
25	100	8,4118	46,	1,5857	2756	1,9098e-004
25	101	8,4018	46,	1,5857	2756	1,9411e-004
