Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	2,2307e-004
0	1	8,4118	46,	1,5857	2713	2,3604e-004
0	2	8,4192	46,	1,5312	2713	2,4271e-004
0	3	8,4872	46,	1,5312	2713	2,2041e-004
1	4	8,4962	46,	1,5857	2714	3,6113e-004
1	5	8,4118	46,	1,5857	2714	3,4267e-004
1	6	8,4084	46,	1,6506	2714	3,5337e-004
1	7	8,5003	46,	1,6506	2714	3,6448e-004
2	8	8,5003	46,	1,6506	2715	5,2471e-004
2	9	8,4084	46,	1,6506	2715	5,2113e-004
2	10	8,4084	46,	1,7174	2715	5,2946e-004
2	11	8,5002	46,	1,7174	2715	5,3186e-004
3	12	8,5002	46,	1,7174	2716	5,3922e-004
3	13	8,4084	46,	1,7174	2716	5,1093e-004
3	14	8,4118	46,	1,7816	2716	4,9569e-004
3	15	8,4962	46,	1,7816	2716	5,2666e-004
4	16	8,4962	46,	1,7816	2717	3,7649e-004
4	17	8,4118	46,	1,7816	2717	3,5895e-004
4	18	8,4192	46,	1,8362	2717	3,5155e-004
4	19	8,4872	46,	1,8362	2717	3,7522e-004
5	20	8,4872	46,	1,8362	2718	2,8058e-004
5	21	8,4192	46,	1,8362	2718	2,4022e-004
5	22	8,4192	46,	1,8562	2718	2,4375e-004
5	23	8,4872	46,	1,8562	2718	2,7221e-004
6	24	8,5087	46,	1,5857	2725	2,1167e-004
6	25	8,5548	46,	1,5857	2725	2,2432e-004
6	26	8,5345	46,	1,5312	2725	2,0971e-004
6	27	8,4974	46,	1,5312	2725	2,0579e-004
7	28	8,5548	46,	1,5857	2726	2,9091e-004
7	29	8,5087	46,	1,5857	2726	3,1396e-004
7	30	8,5139	46,	1,6506	2726	3,1372e-004
7	31	8,5641	46,	1,6506	2726	2,7338e-004
8	32	8,5641	46,	1,6506	2727	2,7579e-004
8	33	8,5139	46,	1,6506	2727	2,81e-004
8	34	8,5139	46,	1,7174	2727	3,4692e-004
8	35	8,5641	46,	1,7174	2727	3,3419e-004
9	36	8,5641	46,	1,7174	2728	6,836e-004
9	37	8,5139	46,	1,7174	2728	6,0028e-004
9	38	8,5087	46,	1,7816	2728	5,5703e-004
9	39	8,5549	46,	1,7816	2728	6,8212e-004
10	40	8,5549	46,	1,7816	2729	6,4101e-004
10	41	8,5087	46,	1,7816	2729	6,5449e-004
10	42	8,4974	46,	1,8362	2729	5,8053e-004
10	43	8,5345	46,	1,8362	2729	5,8521e-004
11	44	8,5345	46,	1,8362	2730	2,9294e-004
11	45	8,4974	46,	1,8362	2730	2,7564e-004
11	46	8,4974	46,	1,8562	2730	2,893e-004
11	47	8,5345	46,	1,8562	2730	2,6996e-004
12	48	8,5087	46,	1,5857	2731	2,0873e-004
12	49	8,4962	46,	1,5857	2731	2,0527e-004
12	50	8,4872	46,	1,5312	2731	1,9951e-004
12	51	8,4974	46,	1,5312	2731	2,0282e-004
13	52	8,4962	46,	1,5857	2732	3,2465e-004
13	53	8,5087	46,	1,5857	2732	3,1737e-004
13	54	8,5139	46,	1,6506	2732	3,1772e-004
13	55	8,5003	46,	1,6506	2732	3,2757e-004
14	56	8,5003	46,	1,6506	2733	3,167e-004
14	57	8,5139	46,	1,6506	2733	3,1169e-004
14	58	8,5139	46,	1,7174	2733	3,6429e-004
14	59	8,5002	46,	1,7174	2733	3,6907e-004
15	60	8,5002	46,	1,7174	2734	5,7352e-004
15	61	8,5139	46,	1,7174	2734	5,9817e-004
15	62	8,5087	46,	1,7816	2734	5,5218e-004
15	63	8,4962	46,	1,7816	2734	5,2433e-004
16	64	8,4962	46,	1,7816	2735	6,243e-004
16	65	8,5087	46,	1,7816	2735	6,2528e-004
16	66	8,4974	46,	1,8362	2735	5,6761e-004
16	67	8,4872	46,	1,8362	2735	5,7362e-004
17	68	8,4872	46,	1,8362	2736	2,7518e-004
17	69	8,4974	46,	1,8362	2736	2,7874e-004
17	70	8,4974	46,	1,8562	2736	2,816e-004
17	71	8,4872	46,	1,8562	2736	2,8335e-004
18	72	8,4018	46,	1,5857	2749	3,6943e-004
18	73	8,3261	46,	1,5857	2749	3,5376e-004
18	74	8,3501	46,	1,5312	2749	4,3365e-004
18	75	8,4112	46,	1,5312	2749	3,3518e-004
19	76	8,4018	46,	1,5857	2750	4,5754e-004
19	77	8,3261	46,	1,5857	2750	4,326e-004
19	78	8,3151	46,	1,6506	2750	5,2529e-004
19	79	8,3976	46,	1,6506	2750	4,6444e-004
20	80	8,3976	46,	1,6506	2751	2,7515e-004
20	81	8,3151	46,	1,6506	2751	2,2992e-004
20	82	8,3152	46,	1,7174	2751	2,0443e-004
20	83	8,3976	46,	1,7174	2751	2,3911e-004
21	84	8,3976	46,	1,7174	2752	3,3015e-004
21	85	8,3152	46,	1,7174	2752	3,0727e-004
21	86	8,3261	46,	1,7816	2752	3,0665e-004
21	87	8,4018	46,	1,7816	2752	3,339e-004
22	88	8,4018	46,	1,7816	2753	3,9964e-004
22	89	8,3261	46,	1,7816	2753	3,4496e-004
22	90	8,3501	46,	1,8362	2753	3,2799e-004
22	91	8,4112	46,	1,8362	2753	4,0375e-004
