Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	1,4874e-004
0	1	8,4118	46,	1,5857	2713	1,5756e-004
0	2	8,4192	46,	1,5312	2713	1,6228e-004
0	3	8,4872	46,	1,5312	2713	1,4678e-004
1	4	8,4962	46,	1,5857	2714	2,4112e-004
1	5	8,4118	46,	1,5857	2714	2,2862e-004
1	6	8,4084	46,	1,6506	2714	2,3552e-004
1	7	8,5003	46,	1,6506	2714	2,4353e-004
2	8	8,5003	46,	1,6506	2715	3,4931e-004
2	9	8,4084	46,	1,6506	2715	3,445e-004
2	10	8,4084	46,	1,7174	2715	3,4989e-004
2	11	8,5002	46,	1,7174	2715	3,5427e-004
3	12	8,5002	46,	1,7174	2716	3,604e-004
3	13	8,4084	46,	1,7174	2716	3,4095e-004
3	14	8,4118	46,	1,7816	2716	3,3134e-004
3	15	8,4962	46,	1,7816	2716	3,5236e-004
4	16	8,4962	46,	1,7816	2717	2,553e-004
4	17	8,4118	46,	1,7816	2717	2,4367e-004
4	18	8,4192	46,	1,8362	2717	2,3868e-004
4	19	8,4872	46,	1,8362	2717	2,5443e-004
5	20	8,4872	46,	1,8362	2718	1,9139e-004
5	21	8,4192	46,	1,8362	2718	1,6318e-004
5	22	8,4192	46,	1,8562	2718	1,6559e-004
5	23	8,4872	46,	1,8562	2718	1,8561e-004
6	24	8,5087	46,	1,5857	2725	1,3941e-004
6	25	8,5548	46,	1,5857	2725	1,4761e-004
6	26	8,5345	46,	1,5312	2725	1,3751e-004
6	27	8,4974	46,	1,5312	2725	1,35e-004
7	28	8,5548	46,	1,5857	2726	1,9231e-004
7	29	8,5087	46,	1,5857	2726	2,0799e-004
7	30	8,5139	46,	1,6506	2726	2,0811e-004
7	31	8,5641	46,	1,6506	2726	1,8145e-004
8	32	8,5641	46,	1,6506	2727	1,9073e-004
8	33	8,5139	46,	1,6506	2727	1,9358e-004
8	34	8,5139	46,	1,7174	2727	2,3935e-004
8	35	8,5641	46,	1,7174	2727	2,3176e-004
9	36	8,5641	46,	1,7174	2728	4,5387e-004
9	37	8,5139	46,	1,7174	2728	4,0211e-004
9	38	8,5087	46,	1,7816	2728	3,7341e-004
9	39	8,5549	46,	1,7816	2728	4,5187e-004
10	40	8,5549	46,	1,7816	2729	4,2334e-004
10	41	8,5087	46,	1,7816	2729	4,3085e-004
10	42	8,4974	46,	1,8362	2729	3,8587e-004
10	43	8,5345	46,	1,8362	2729	3,8911e-004
11	44	8,5345	46,	1,8362	2730	1,9841e-004
11	45	8,4974	46,	1,8362	2730	1,8715e-004
11	46	8,4974	46,	1,8562	2730	1,9668e-004
11	47	8,5345	46,	1,8562	2730	1,8285e-004
12	48	8,5087	46,	1,5857	2731	1,369e-004
12	49	8,4962	46,	1,5857	2731	1,3449e-004
12	50	8,4872	46,	1,5312	2731	1,3043e-004
12	51	8,4974	46,	1,5312	2731	1,3274e-004
13	52	8,4962	46,	1,5857	2732	2,152e-004
13	53	8,5087	46,	1,5857	2732	2,104e-004
13	54	8,5139	46,	1,6506	2732	2,1106e-004
13	55	8,5003	46,	1,6506	2732	2,176e-004
14	56	8,5003	46,	1,6506	2733	2,1707e-004
14	57	8,5139	46,	1,6506	2733	2,1391e-004
14	58	8,5139	46,	1,7174	2733	2,4983e-004
14	59	8,5002	46,	1,7174	2733	2,5269e-004
15	60	8,5002	46,	1,7174	2734	3,8463e-004
15	61	8,5139	46,	1,7174	2734	3,9993e-004
15	62	8,5087	46,	1,7816	2734	3,7081e-004
