Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	4,0242e-004
0	1	8,4118	46,	1,5857	2713	4,2585e-004
0	2	8,4192	46,	1,5312	2713	4,3886e-004
0	3	8,4872	46,	1,5312	2713	3,9899e-004
1	4	8,4962	46,	1,5857	2714	6,7691e-004
1	5	8,4118	46,	1,5857	2714	6,4127e-004
1	6	8,4084	46,	1,6506	2714	6,6493e-004
1	7	8,5003	46,	1,6506	2714	6,8404e-004
2	8	8,5003	46,	1,6506	2715	1,0595e-003
2	9	8,4084	46,	1,6506	2715	1,0587e-003
2	10	8,4084	46,	1,7174	2715	1,0815e-003
2	11	8,5002	46,	1,7174	2715	1,0766e-003
3	12	8,5002	46,	1,7174	2716	1,1025e-003
3	13	8,4084	46,	1,7174	2716	1,0295e-003
3	14	8,4118	46,	1,7816	2716	9,8869e-004
3	15	8,4962	46,	1,7816	2716	1,0697e-003
4	16	8,4962	46,	1,7816	2717	7,063e-004
4	17	8,4118	46,	1,7816	2717	6,6817e-004
4	18	8,4192	46,	1,8362	2717	6,5249e-004
4	19	8,4872	46,	1,8362	2717	7,028e-004
5	20	8,4872	46,	1,8362	2718	5,0465e-004
5	21	8,4192	46,	1,8362	2718	4,2938e-004
5	22	8,4192	46,	1,8562	2718	4,3602e-004
5	23	8,4872	46,	1,8562	2718	4,9024e-004
6	24	8,5087	46,	1,5857	2725	3,8318e-004
6	25	8,5548	46,	1,5857	2725	4,0476e-004
6	26	8,5345	46,	1,5312	2725	3,7972e-004
6	27	8,4974	46,	1,5312	2725	3,7337e-004
7	28	8,5548	46,	1,5857	2726	5,3799e-004
7	29	8,5087	46,	1,5857	2726	5,8303e-004
7	30	8,5139	46,	1,6506	2726	5,8276e-004
7	31	8,5641	46,	1,6506	2726	5,0078e-004
8	32	8,5641	46,	1,6506	2727	4,8471e-004
8	33	8,5139	46,	1,6506	2727	4,9721e-004
8	34	8,5139	46,	1,7174	2727	6,2024e-004
8	35	8,5641	46,	1,7174	2727	5,9045e-004
9	36	8,5641	46,	1,7174	2728	1,4372e-003
9	37	8,5139	46,	1,7174	2728	1,2184e-003
9	38	8,5087	46,	1,7816	2728	1,1164e-003
9	39	8,5549	46,	1,7816	2728	1,4474e-003
10	40	8,5549	46,	1,7816	2729	1,4014e-003
10	41	8,5087	46,	1,7816	2729	1,4442e-003
10	42	8,4974	46,	1,8362	2729	1,2209e-003
10	43	8,5345	46,	1,8362	2729	1,233e-003
11	44	8,5345	46,	1,8362	2730	5,447e-004
11	45	8,4974	46,	1,8362	2730	5,0583e-004
11	46	8,4974	46,	1,8562	2730	5,312e-004
11	47	8,5345	46,	1,8562	2730	4,9843e-004
12	48	8,5087	46,	1,5857	2731	3,7452e-004
12	49	8,4962	46,	1,5857	2731	3,6811e-004
12	50	8,4872	46,	1,5312	2731	3,5915e-004
12	51	8,4974	46,	1,5312	2731	3,6554e-004
13	52	8,4962	46,	1,5857	2732	6,038e-004
13	53	8,5087	46,	1,5857	2732	5,8922e-004
13	54	8,5139	46,	1,6506	2732	5,895e-004
13	55	8,5003	46,	1,6506	2732	6,0933e-004
14	56	8,5003	46,	1,6506	2733	5,6661e-004
14	57	8,5139	46,	1,6506	2733	5,5632e-004
14	58	8,5139	46,	1,7174	2733	6,6018e-004
14	59	8,5002	46,	1,7174	2733	6,7157e-004
15	60	8,5002	46,	1,7174	2734	1,1565e-003
15	61	8,5139	46,	1,7174	2734	1,2206e-003
15	62	8,5087	46,	1,7816	2734	1,1079e-003
15	63	8,4962	46,	1,7816	2734	1,0364e-003
16	64	8,4962	46,	1,7816	2735	1,3503e-003
16	65	8,5087	46,	1,7816	2735	1,3534e-003
16	66	8,4974	46,	1,8362	2735	1,1873e-003
16	67	8,4872	46,	1,8362	2735	1,204e-003
17	68	8,4872	46,	1,8362	2736	5,026e-004
17	69	8,4974	46,	1,8362	2736	5,1082e-004
17	70	8,4974	46,	1,8562	2736	5,156e-004
17	71	8,4872	46,	1,8562	2736	5,1795e-004
18	72	8,4018	46,	1,5857	2749	7,0268e-004
18	73	8,3261	46,	1,5857	2749	6,6703e-004
18	74	8,3501	46,	1,5312	2749	8,4939e-004
18	75	8,4112	46,	1,5312	2749	6,3317e-004
19	76	8,4018	46,	1,5857	2750	8,9438e-004
19	77	8,3261	46,	1,5857	2750	8,3668e-004
19	78	8,3151	46,	1,6506	2750	1,0788e-003
19	79	8,3976	46,	1,6506	2750	9,1375e-004
20	80	8,3976	46,	1,6506	2751	4,9327e-004
20	81	8,3151	46,	1,6506	2751	4,0985e-004
20	82	8,3152	46,	1,7174	2751	3,5741e-004
20	83	8,3976	46,	1,7174	2751	4,2312e-004
21	84	8,3976	46,	1,7174	2752	6,0032e-004
21	85	8,3152	46,	1,7174	2752	5,5054e-004
21	86	8,3261	46,	1,7816	2752	5,5002e-004
21	87	8,4018	46,	1,7816	2752	6,0813e-004
22	88	8,4018	46,	1,7816	2753	7,5182e-004
22	89	8,3261	46,	1,7816	2753	6,3318e-004
22	90	8,3501	46,	1,8362	2753	5,9803e-004
22	91	8,4112	46,	1,8362	2753	7,6182e-004
23	92	8,4112	46,	1,8362	2754	3,9962e-004
23	93	8,3501	46,	1,8362	2754	3,6241e-004
23	94	8,3501	46,	1,8562	2754	3,673e-004
23	95	8,4112	46,	1,8562	2754	3,8104e-004
24	96	8,4018	46,	1,5857	2755	5,8561e-004
24	97	8,4118	46,	1,5857	2755	5,7004e-004
24	98	8,4192	46,	1,5312	2755	5,8406e-004
24	99	8,4112	46,	1,5312	2755	5,9713e-004
25	100	8,4118	46,	1,5857	2756	8,3149e-004
25	101	8,4018	46,	1,5857	2756	8,4941e-004
25	102	8,3976	46,	1,6506	2756	8,8346e-004
25	103	8,4084	46,	1,6506	2756	8,7803e-004
26	104	8,4084	46,	1,6506	2757	7,1524e-004
26	105	8,3976	46,	1,6506	2757	6,9834e-004
26	106	8,3976	46,	1,7174	2757	6,5583e-004
26	107	8,4084	46,	1,7174	2757	6,6833e-004
27	108	8,4084	46,	1,7174	2758	7,7597e-004
27	109	8,3976	46,	1,7174	2758	7,5511e-004
27	110	8,4018	46,	1,7816	2758	7,5532e-004
27	111	8,4118	46,	1,7816	2758	7,6126e-004
28	112	8,4118	46,	1,7816	2759	7,5153e-004
28	113	8,4018	46,	1,7816	2759	7,4106e-004
28	114	8,4112	46,	1,8362	2759	7,5768e-004
28	115	8,4192	46,	1,8362	2759	7,5956e-004
29	116	8,4192	46,	1,8362	2760	4,3773e-004
29	117	8,4112	46,	1,8362	2760	4,431e-004
29	118	8,4112	46,	1,8562	2760	4,4031e-004
29	119	8,4192	46,	1,8562	2760	4,3718e-004
30	120	8,5548	46,	1,5857	2791	3,7631e-004
30	121	8,6546	46,	1,5857	2791	2,716e-004
30	122	8,6149	46,	1,5312	2791	2,38e-004
30	123	8,5345	46,	1,5312	2791	3,4901e-004
31	124	8,5548	46,	1,5857	2792	1,4449e-004
