Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	2,785e-003
0	1	8,4118	46,	1,5857	2713	3,32e-003
0	2	8,4192	46,	1,5312	2713	3,8633e-003
0	3	8,4872	46,	1,5312	2713	2,9704e-003
1	4	8,4962	46,	1,5857	2714	1,0214e-002
1	5	8,4118	46,	1,5857	2714	1,0122e-002
1	6	8,4084	46,	1,6506	2714	1,1564e-002
1	7	8,5003	46,	1,6506	2714	1,1269e-002
2	8	8,5003	46,	1,6506	2715	1,8942e-002
2	9	8,4084	46,	1,6506	2715	2,0512e-002
2	10	8,4084	46,	1,7174	2715	2,4345e-002
2	11	8,5002	46,	1,7174	2715	2,1995e-002
3	12	8,5002	46,	1,7174	2716	3,488e-002
3	13	8,4084	46,	1,7174	2716	3,1249e-002
3	14	8,4118	46,	1,7816	2716	2,5464e-002
3	15	8,4962	46,	1,7816	2716	2,9169e-002
4	16	8,4962	46,	1,7816	2717	1,9921e-002
4	17	8,4118	46,	1,7816	2717	1,9036e-002
4	18	8,4192	46,	1,8362	2717	1,5967e-002
4	19	8,4872	46,	1,8362	2717	1,8673e-002
5	20	8,4872	46,	1,8362	2718	3,8652e-003
5	21	8,4192	46,	1,8362	2718	2,5726e-003
5	22	8,4192	46,	1,8562	2718	2,6532e-003
5	23	8,4872	46,	1,8562	2718	3,64e-003
6	24	8,5087	46,	1,5857	2725	2,141e-003
6	25	8,5548	46,	1,5857	2725	2,4418e-003
6	26	8,5345	46,	1,5312	2725	2,1884e-003
6	27	8,4974	46,	1,5312	2725	2,1673e-003
7	28	8,5548	46,	1,5857	2726	5,119e-003
7	29	8,5087	46,	1,5857	2726	6,5568e-003
7	30	8,5139	46,	1,6506	2726	6,7759e-003
7	31	8,5641	46,	1,6506	2726	4,3048e-003
8	32	8,5641	46,	1,6506	2727	2,7397e-003
8	33	8,5139	46,	1,6506	2727	3,0337e-003
8	34	8,5139	46,	1,7174	2727	5,6881e-003
8	35	8,5641	46,	1,7174	2727	4,4798e-003
9	36	8,5641	46,	1,7174	2728	3,0442e-002
9	37	8,5139	46,	1,7174	2728	1,9764e-002
9	38	8,5087	46,	1,7816	2728	2,6507e-002
9	39	8,5549	46,	1,7816	2728	3,9413e-002
10	40	8,5549	46,	1,7816	2729	5,2521e-002
10	41	8,5087	46,	1,7816	2729	6,4417e-002
10	42	8,4974	46,	1,8362	2729	2,7606e-002
10	43	8,5345	46,	1,8362	2729	2,3108e-002
11	44	8,5345	46,	1,8362	2730	5,3108e-003
11	45	8,4974	46,	1,8362	2730	3,462e-003
