Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	1,1546e-004
0	1	8,4118	46,	1,5857	2713	1,2322e-004
0	2	8,4192	46,	1,5312	2713	1,2673e-004
0	3	8,4872	46,	1,5312	2713	1,1297e-004
1	4	8,4962	46,	1,5857	2714	1,9074e-004
1	5	8,4118	46,	1,5857	2714	1,8055e-004
1	6	8,4084	46,	1,6506	2714	1,8634e-004
1	7	8,5003	46,	1,6506	2714	1,9254e-004
2	8	8,5003	46,	1,6506	2715	2,726e-004
2	9	8,4084	46,	1,6506	2715	2,7112e-004
2	10	8,4084	46,	1,7174	2715	2,7538e-004
2	11	8,5002	46,	1,7174	2715	2,7639e-004
3	12	8,5002	46,	1,7174	2716	2,7875e-004
3	13	8,4084	46,	1,7174	2716	2,6523e-004
3	14	8,4118	46,	1,7816	2716	2,5755e-004
3	15	8,4962	46,	1,7816	2716	2,7252e-004
4	16	8,4962	46,	1,7816	2717	1,9956e-004
4	17	8,4118	46,	1,7816	2717	1,9102e-004
4	18	8,4192	46,	1,8362	2717	1,8704e-004
4	19	8,4872	46,	1,8362	2717	1,9875e-004
5	20	8,4872	46,	1,8362	2718	1,5054e-004
5	21	8,4192	46,	1,8362	2718	1,2851e-004
5	22	8,4192	46,	1,8562	2718	1,3031e-004
5	23	8,4872	46,	1,8562	2718	1,4599e-004
6	24	8,5087	46,	1,5857	2725	1,1035e-004
6	25	8,5548	46,	1,5857	2725	1,1769e-004
6	26	8,5345	46,	1,5312	2725	1,0919e-004
6	27	8,4974	46,	1,5312	2725	1,0637e-004
7	28	8,5548	46,	1,5857	2726	1,5336e-004
7	29	8,5087	46,	1,5857	2726	1,6615e-004
7	30	8,5139	46,	1,6506	2726	1,6564e-004
7	31	8,5641	46,	1,6506	2726	1,4394e-004
8	32	8,5641	46,	1,6506	2727	1,4638e-004
8	33	8,5139	46,	1,6506	2727	1,4913e-004
8	34	8,5139	46,	1,7174	2727	1,8412e-004
8	35	8,5641	46,	1,7174	2727	1,775e-004
9	36	8,5641	46,	1,7174	2728	3,4342e-004
9	37	8,5139	46,	1,7174	2728	3,0688e-004
9	38	8,5087	46,	1,7816	2728	2,8609e-004
9	39	8,5549	46,	1,7816	2728	3,422e-004
10	40	8,5549	46,	1,7816	2729	3,2372e-004
10	41	8,5087	46,	1,7816	2729	3,2922e-004
10	42	8,4974	46,	1,8362	2729	2,967e-004
10	43	8,5345	46,	1,8362	2729	2,9909e-004
11	44	8,5345	46,	1,8362	2730	1,556e-004
11	45	8,4974	46,	1,8362	2730	1,47e-004
11	46	8,4974	46,	1,8562	2730	1,5442e-004
11	47	8,5345	46,	1,8562	2730	1,435e-004
12	48	8,5087	46,	1,5857	2731	1,0828e-004
12	49	8,4962	46,	1,5857	2731	1,062e-004
12	50	8,4872	46,	1,5312	2731	1,0229e-004
12	51	8,4974	46,	1,5312	2731	1,0429e-004
13	52	8,4962	46,	1,5857	2732	1,7216e-004
13	53	8,5087	46,	1,5857	2732	1,681e-004
13	54	8,5139	46,	1,6506	2732	1,6814e-004
13	55	8,5003	46,	1,6506	2732	1,735e-004
14	56	8,5003	46,	1,6506	2733	1,6815e-004
14	57	8,5139	46,	1,6506	2733	1,6545e-004
14	58	8,5139	46,	1,7174	2733	1,9308e-004
14	59	8,5002	46,	1,7174	2733	1,9559e-004
15	60	8,5002	46,	1,7174	2734	2,9492e-004
15	61	8,5139	46,	1,7174	2734	3,0575e-004
15	62	8,5087	46,	1,7816	2734	2,8459e-004
15	63	8,4962	46,	1,7816	2734	2,7209e-004
16	64	8,4962	46,	1,7816	2735	3,1635e-004
16	65	8,5087	46,	1,7816	2735	3,1682e-004
16	66	8,4974	46,	1,8362	2735	2,9092e-004
16	67	8,4872	46,	1,8362	2735	2,9361e-004
17	68	8,4872	46,	1,8362	2736	1,4695e-004
17	69	8,4974	46,	1,8362	2736	1,4869e-004
17	70	8,4974	46,	1,8562	2736	1,5038e-004
17	71	8,4872	46,	1,8562	2736	1,5147e-004
18	72	8,4018	46,	1,5857	2749	1,9387e-004
18	73	8,3261	46,	1,5857	2749	1,854e-004
18	74	8,3501	46,	1,5312	2749	2,2428e-004
18	75	8,4112	46,	1,5312	2749	1,7407e-004
19	76	8,4018	46,	1,5857	2750	2,4557e-004
19	77	8,3261	46,	1,5857	2750	2,3431e-004
19	78	8,3151	46,	1,6506	2750	2,831e-004
19	79	8,3976	46,	1,6506	2750	2,4956e-004
20	80	8,3976	46,	1,6506	2751	1,5252e-004
20	81	8,3151	46,	1,6506	2751	1,2818e-004
20	82	8,3152	46,	1,7174	2751	1,1072e-004
20	83	8,3976	46,	1,7174	2751	1,3086e-004
21	84	8,3976	46,	1,7174	2752	1,7564e-004
21	85	8,3152	46,	1,7174	2752	1,6022e-004
21	86	8,3261	46,	1,7816	2752	1,6011e-004
21	87	8,4018	46,	1,7816	2752	1,7734e-004
22	88	8,4018	46,	1,7816	2753	2,0761e-004
