Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	7,2581e-003
0	1	8,4118	46,	1,5857	2713	1,0445e-002
0	2	8,4192	46,	1,5312	2713	1,4274e-002
0	3	8,4872	46,	1,5312	2713	9,5482e-003
1	4	8,4962	46,	1,5857	2714	2,7326e-002
1	5	8,4118	46,	1,5857	2714	2,7647e-002
1	6	8,4084	46,	1,6506	2714	3,3016e-002
1	7	8,5003	46,	1,6506	2714	3,1699e-002
2	8	8,5003	46,	1,6506	2715	3,2543e-002
2	9	8,4084	46,	1,6506	2715	3,9591e-002
2	10	8,4084	46,	1,7174	2715	5,0036e-002
2	11	8,5002	46,	1,7174	2715	4,0948e-002
3	12	8,5002	46,	1,7174	2716	6,2064e-002
3	13	8,4084	46,	1,7174	2716	6,1192e-002
3	14	8,4118	46,	1,7816	2716	4,9162e-002
3	15	8,4962	46,	1,7816	2716	5,0108e-002
4	16	8,4962	46,	1,7816	2717	4,3959e-002
4	17	8,4118	46,	1,7816	2717	4,5964e-002
4	18	8,4192	46,	1,8362	2717	3,8112e-002
4	19	8,4872	46,	1,8362	2717	3,9666e-002
5	20	8,4872	46,	1,8362	2718	6,5218e-003
5	21	8,4192	46,	1,8362	2718	3,7476e-003
5	22	8,4192	46,	1,8562	2718	3,9501e-003
5	23	8,4872	46,	1,8562	2718	5,9588e-003
6	24	8,5087	46,	1,5857	2725	4,4264e-003
6	25	8,5548	46,	1,5857	2725	5,6011e-003
6	26	8,5345	46,	1,5312	2725	4,9551e-003
6	27	8,4974	46,	1,5312	2725	4,7133e-003
7	28	8,5548	46,	1,5857	2726	1,3559e-002
7	29	8,5087	46,	1,5857	2726	2,0812e-002
7	30	8,5139	46,	1,6506	2726	2,1158e-002
7	31	8,5641	46,	1,6506	2726	1,1446e-002
8	32	8,5641	46,	1,6506	2727	4,3746e-003
8	33	8,5139	46,	1,6506	2727	5,3252e-003
8	34	8,5139	46,	1,7174	2727	1,165e-002
8	35	8,5641	46,	1,7174	2727	8,1225e-003
9	36	8,5641	46,	1,7174	2728	4,5631e-002
9	37	8,5139	46,	1,7174	2728	3,0435e-002
9	38	8,5087	46,	1,7816	2728	4,8946e-002
9	39	8,5549	46,	1,7816	2728	6,4846e-002
10	40	8,5549	46,	1,7816	2729	8,6641e-002
10	41	8,5087	46,	1,7816	2729	0,10921
10	42	8,4974	46,	1,8362	2729	4,7244e-002
10	43	8,5345	46,	1,8362	2729	3,6308e-002
11	44	8,5345	46,	1,8362	2730	1,1865e-002
11	45	8,4974	46,	1,8362	2730	5,9743e-003
11	46	8,4974	46,	1,8562	2730	6,8812e-003
11	47	8,5345	46,	1,8562	2730	7,2101e-003
12	48	8,5087	46,	1,5857	2731	4,0015e-003
12	49	8,4962	46,	1,5857	2731	3,6991e-003
12	50	8,4872	46,	1,5312	2731	4,2518e-003
12	51	8,4974	46,	1,5312	2731	4,5354e-003
13	52	8,4962	46,	1,5857	2732	2,3533e-002
13	53	8,5087	46,	1,5857	2732	2,1383e-002
13	54	8,5139	46,	1,6506	2732	2,1554e-002
13	55	8,5003	46,	1,6506	2732	2,4017e-002
14	56	8,5003	46,	1,6506	2733	8,8936e-003
14	57	8,5139	46,	1,6506	2733	7,9323e-003
14	58	8,5139	46,	1,7174	2733	1,7005e-002
14	59	8,5002	46,	1,7174	2733	1,8704e-002
15	60	8,5002	46,	1,7174	2734	3,3171e-002
15	61	8,5139	46,	1,7174	2734	3,5941e-002
15	62	8,5087	46,	1,7816	2734	4,8234e-002
15	63	8,4962	46,	1,7816	2734	4,488e-002
16	64	8,4962	46,	1,7816	2735	9,4845e-002
16	65	8,5087	46,	1,7816	2735	9,376e-002
16	66	8,4974	46,	1,8362	2735	4,4728e-002
16	67	8,4872	46,	1,8362	2735	4,6162e-002
17	68	8,4872	46,	1,8362	2736	4,6928e-003
17	69	8,4974	46,	1,8362	2736	5,7983e-003
17	70	8,4974	46,	1,8562	2736	5,7514e-003
17	71	8,4872	46,	1,8562	2736	5,61e-003
18	72	8,4018	46,	1,5857	2749	2,9234e-002
